Year,carrier_lg,total_passengers,year_total,market_share
1993,5J,993,1538128,0.06455899639041744
1993,AA,286797,1538128,18.645847419720596
1993,AS,19427,1538128,1.2630288246491839
1993,BF,493,1538128,0.03205194886251339
1993,CO,149631,1538128,9.728124057295622
1993,DH,3,1538128,0.0001950422851674243
1993,DL,189411,1538128,12.314384758615669
1993,FF,3409,1538128,0.22163305004524983
1993,HP,49362,1538128,3.2092257601447995
1993,KP,2247,1538128,0.1460866715904008
1993,KW,2436,1538128,0.15837433555594854
1993,NK,1662,1538128,0.10805342598275305
1993,NW,125886,1538128,8.184364370195459
1993,OE,182,1538128,0.011832565300157074
1993,QQ,8590,1538128,0.5584710765293915
1993,RL,166,1538128,0.010792339779264144
1993,TB,22101,1538128,1.4368765148284148
1993,TW,30041,1538128,1.9530884295715312
1993,TZ,9376,1538128,0.6095721552432568
1993,U2,86,1538128,0.005591212174799496
1993,UA,280890,1538128,18.261809160225937
1993,UK,0,1538128,0.0
1993,US,176294,1538128,11.461594873768632
1993,WN,169321,1538128,11.008251588944482
1993,YX,8328,1538128,0.5414373836247699
1993,ZW,996,1538128,0.06475403867558487
1994,5J,865,397648,0.2175290709371102
1994,AA,64779,397648,16.29053836558967
1994,AS,7278,397648,1.8302619402084255
1994,BF,261,397648,0.06563593932322054
1994,CO,41341,397648,10.396380718625519
1994,DH,8,397648,0.002011829557799863
1994,DL,52103,397648,13.102794431255784
1994,FF,1774,397648,0.44612320444211967
1994,HP,9797,397648,2.4637367722206576
1994,JI,506,397648,0.12724821953084134
1994,KN,903,397648,0.22708526133665957
1994,KP,703,397648,0.17678952239166298
1994,KW,1415,397648,0.3558423530358508
1994,NK,404,397648,0.1015973926688931
1994,NW,37466,397648,9.42190077656621
1994,OE,3,397648,0.0007544360841749487
1994,QQ,4514,397648,1.1351748279885727
1994,RL,1165,397648,0.2929726793546051
1994,TB,3672,397648,0.9234297670301372
1994,TW,6439,397648,1.619271315334165
1994,TZ,5382,397648,1.353458335009858
1994,U2,66,397648,0.01659759385184887
1994,UA,62544,397648,15.72848348287933
1994,UK,6,397648,0.0015088721683498975
1994,US,50277,397648,12.643594334687966
1994,WN,41835,397648,10.52061119381966
1994,YX,1862,397648,0.46825332957791815
1994,ZW,280,397648,0.0704140345229952
1996,3M,0,2002008,0.0
1996,9N,29,2002008,0.0014485456601572022
1996,AA,301963,2002008,15.083006661312043
1996,AS,59240,2002008,2.9590291347487123
1996,CO,208018,2002008,10.390467970157962
1996,DH,13,2002008,0.0006493480545532286
1996,DL,217527,2002008,10.865441097138472
1996,F9,741,2002008,0.037012839109534026
1996,FF,777,2002008,0.03881103372214297
1996,FL,14474,2002008,0.7229741339694946
1996,HP,40556,2002008,2.025766130804672
1996,HQ,285,2002008,0.01423570734982078
1996,J7,7231,2002008,0.3611873678826458
1996,JI,12126,2002008,0.6056918853471115
1996,KP,7888,2002008,0.394004419562759
1996,KW,11198,2002008,0.559338424222081
1996,NJ,5372,2002008,0.26833059608153415
1996,NK,3124,2002008,0.15604333249417585
1996,NW,154516,2002008,7.718051076718973
1996,OH,1,2002008,4.9949850350248345e-05
