airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
ABE,CHI,4,296.82399999999996,654.0,0.4538593272171253,28.04000000000001
ABE,MCO,1177,193.266,906.0,0.213317880794702,133.682
ABE,MDW,35,253.47400000000002,654.0,0.3875749235474006,21.299999999999997
ABE,ORD,2149,263.65066666666667,654.0,0.4031355759429154,50.61466666666667
ABE,PIE,2234,98.86307692307693,970.2307692307693,0.10189580711367158,0.0
ABE,TPA,289,248.92076923076925,970.2307692307693,0.2565787194215109,10.51461538461538
ABQ,BOS,15383,259.2563917525773,1974.0,0.13133555813200473,17.911752577319586
ABQ,BUR,9707,166.1856779661017,677.0,0.24547367498685627,13.007457627118646
ABQ,BWI,28325,221.2028813559322,1670.0,0.13245681518319294,21.03372881355932
ABQ,CHI,14,203.67785714285716,1123.0,0.18136941864902686,55.07214285714286
ABQ,DAL,56613,150.66330508474576,580.0,0.2597643191116306,0.0
ABQ,DCA,24526,258.74033898305083,1670.0,0.15493433472038973,17.34805084745763
ABQ,DET,19,132.52,1367.0,0.09694220921726408,0.0
ABQ,DFW,29846,166.24398305084748,580.0,0.2866275569842197,9.664661016949154
ABQ,DTW,224,181.17000000000002,1357.0,0.13342603167568995,51.98499999999999
ABQ,EFD,74,140.9564705882353,767.0,0.1837763632180382,-1.0547058823529416
ABQ,EWR,14272,261.7608547008547,1861.0,0.14065602079573064,36.4840170940171
ABQ,FLL,532,159.628,1689.0,0.09451036116044997,17.476
ABQ,HOU,23352,180.89771186440677,761.7118644067797,0.23771411001598478,4.758559322033898
ABQ,HPN,632,305.8764347826087,1861.0,0.16436132981333085,46.96730434782609
ABQ,IAD,13676,273.7544915254237,1670.0,0.16392484522480463,63.749915254237294
ABQ,IAH,19359,201.89398305084748,761.7118644067797,0.2653166137203083,32.72025423728814
ABQ,ISP,1956,233.12333333333333,1861.0,0.1252677771807272,10.807435897435898
ABQ,JFK,10187,221.53735042735042,1861.0,0.11904210125059131,10.844017094017094
ABQ,LAS,2114,125.68666666666667,487.0,0.2580835044490075,24.86
ABQ,LAX,79749,151.9721186440678,677.0,0.2244787572290514,8.158220338983051
ABQ,LGA,21537,234.0674358974359,1861.0,0.12577508645751526,26.531623931623933
ABQ,LGB,2228,155.19940677966102,677.0,0.22924580026537816,9.462627118644066
ABQ,MCI,6172,149.6162857142857,718.0,0.2083792280143255,31.901714285714284
ABQ,MDW,15785,194.15589743589746,1121.2393162393162,0.1731732163510494,16.23128205128205
ABQ,MHT,3755,238.65092783505153,1974.0,0.12089712656284272,20.415154639175256
ABQ,MIA,184,232.996,1689.0,0.13794908229721728,19.209999999999997
ABQ,MSP,109,205.86,981.0,0.20984709480122327,7.340000000000003
ABQ,NYC,51,282.4206666666667,1861.0,0.15175747805839154,61.874
ABQ,OAK,37718,175.4621186440678,896.0,0.19582825741525423,18.418559322033897
ABQ,ONT,14026,171.04516949152543,677.0,0.25265165360638914,11.632966101694915
ABQ,ORD,24480,221.79717948717948,1121.2393162393162,0.19782112790248577,11.848717948717946
ABQ,PHX,45207,151.23646153846155,328.0,0.46108677298311446,2.3720000000000003
ABQ,PVD,4547,232.8480412371134,1974.0,0.117957467698639,20.377525773195874
ABQ,SEA,599,137.3,1180.0,0.11635593220338983,16.89
ABQ,SFO,23550,185.86483050847457,896.0,0.20743842690677966,21.137118644067794
ABQ,SJC,15359,187.80491525423727,896.0,0.2096037000605327,11.179915254237288
ABQ,SMF,848,126.765,866.0,0.1463799076212471,3.509999999999998
ABQ,SNA,11149,185.9649152542373,677.0,0.27468968279798717,6.374915254237288
ABQ,SWF,472,290.2559615384615,1861.0,0.155967738602075,26.461923076923078
ABQ,TPA,850,153.738,1497.0,0.10269739478957915,4.418000000000006
ABQ,WAS,40,380.915,1670.0,0.2280928143712575,69.21857142857144
ACK,DCA,69,181.03,423.0,0.42796690307328605,14.990000000000009
ACK,EWR,1203,217.56791666666666,218.0,0.9980179663608563,7.865833333333334
ACK,HPN,549,237.08,218.0,1.0875229357798166,0.0
ACK,IAD,2,199.93,423.0,0.47264775413711585,0.0
ACK,ISP,1,315.275,218.0,1.446215596330275,0.0
ACK,JFK,4511,176.14818181818183,218.0,0.8080191826522101,10.802727272727275
ACK,LGA,1956,199.5759090909091,218.0,0.9154858215179317,3.98909090909091
ACK,NYC,0,150.05,218.0,0.6883027522935781,0.0
ACK,SWF,0,113.45,218.0,0.5204128440366973,0.0
ACV,BUR,198,110.46666666666665,609.0,0.18139025725232624,0.0
ACV,LAX,195,134.39,609.0,0.22067323481116585,0.0
ACV,ONT,70,161.39666666666668,609.0,0.2650191570881226,0.0
ACV,SNA,78,158.49666666666667,609.0,0.2602572523262178,0.0
ACY,BOS,1617,74.388,291.2,0.2554498434256359,0.0
ACY,CAK,0,193.23,406.0,0.47593596059113297,0.0
ACY,CLE,368,73.56,406.0,0.1811822660098522,6.160000000000004
ACY,DTW,3074,69.93,497.6923076923077,0.14055253992792266,0.0
ACY,FLL,44567,108.06798165137614,989.5229357798165,0.10916343264689445,0.0
ACY,MCO,446,97.38666666666666,852.0,0.1143035993740219,0.0
ACY,MHT,29,163.132,291.2,0.5602872523838007,46.022000000000006
ACY,MIA,318,196.34610169491526,998.0,0.19673958085662852,6.7410169491525425
ACY,PIE,0,125.0,922.0,0.13557483731019523,0.0
ACY,PVD,18,213.304,291.2,0.7325363874130632,21.351
ACY,TPA,16557,107.0254794520548,913.8493150684932,0.11711381689714419,0.0
AGS,EWR,39,216.9,708.0,0.30635593220338986,0.0
AGS,HPN,0,207.96,708.0,0.29372881355932207,0.0
AGS,ISP,1,189.96,708.0,0.2683050847457627,79.52000000000001
AGS,JFK,6,169.42,708.0,0.23929378531073445,15.890000000000015
AGS,LGA,46,197.47,708.0,0.27891242937853106,0.0
AGS,NYC,9,206.93,708.0,0.29227401129943503,0.0
AGS,SWF,3,228.99,708.0,0.32343220338983053,58.91
AIY,BOS,5,91.95,293.0,0.31382252559726964,0.0
AIY,DTW,4,97.85,506.0,0.1933794466403162,0.0
AIY,MHT,0,90.5,293.0,0.30887372013651876,0.0
AIY,PVD,2,85.92,293.0,0.2932423208191126,0.0
ALB,BUR,722,276.3754651162791,2467.406976744186,0.11200695062656396,25.620116279069766
ALB,BWI,35711,143.38964912280701,325.0,0.44119892037786773,19.439385964912283
ALB,CHI,1,194.8375,723.0,0.269484785615491,0.45624999999999716
ALB,DCA,16652,203.1886842105263,325.0,0.6251959514170041,25.978508771929825
ALB,DTT,0,84.0,488.0,0.1721311475409836,0.0
ALB,DTW,320,175.21,488.0,0.3590368852459016,25.953333333333337
ALB,EWR,96,142.37,145.0,0.9818620689655173,0.0
ALB,FLL,29321,168.00895652173912,1225.0,0.1371501685891748,7.998869565217392
ALB,IAD,3353,209.29640350877193,325.0,0.6439889338731444,25.94342105263158
ALB,ISP,2,193.375,145.0,1.3336206896551723,0.0
ALB,JFK,112,110.30000000000001,145.0,0.7606896551724138,0.0
ALB,LAS,818,181.12333333333333,2237.0,0.08096706899120847,20.469999999999988
ALB,LAX,14477,271.2350574712644,2467.402298850575,0.10992307163740005,25.302413793103447
ALB,LGA,100,162.13,145.0,1.1181379310344828,0.0
ALB,LGB,65,326.46786885245905,2467.55737704918,0.13230009473079832,26.238688524590163
ALB,MCO,1967,177.97,1073.0,0.16586206896551722,75.875
ALB,MDW,8169,198.028407079646,723.0,0.2738982117284177,11.654513274336283
ALB,MIA,5603,219.56017391304346,1225.0,0.1792327950310559,22.177739130434784
ALB,NYC,0,57.73,145.0,0.39813793103448275,0.0
ALB,OAK,2357,272.1182258064516,2559.0,0.10633772012756999,27.087741935483873
ALB,ONT,1571,272.896091954023,2467.402298850575,0.11059646370069984,28.930689655172415
ALB,ORD,24424,224.81415929203538,723.0,0.31094627841222044,9.956991150442478
ALB,PIE,1575,105.45761904761905,1138.0,0.09266926102602728,0.0
ALB,RSW,108,166.79,1204.0,0.1385299003322259,21.169999999999987
ALB,SFO,7135,315.8559677419355,2559.0,0.12342945202889233,65.77516129032259
ALB,SJC,2640,285.9670967741935,2559.0,0.11174954934513229,14.65258064516129
ALB,SNA,2627,306.6490804597701,2467.402298850575,0.1242757909500509,38.89229885057471
ALB,TPA,28438,174.02063636363636,1131.6,0.15373423487876572,7.399
ALB,WAS,8,142.20571428571427,325.0,0.43755604395604397,1.9157142857142853
AMA,DAL,38795,114.75508474576272,323.56779661016947,0.3548268020823818,0.0
AMA,DFW,14031,130.9042372881356,323.56779661016947,0.4047693906584341,2.631186440677966
AMA,EFD,15,121.4232,545.0,0.22279486238532112,0.0
AMA,HOU,10228,148.58703703703702,539.9382716049382,0.27545154159797874,4.014567901234567
AMA,IAH,7523,151.5493827160494,539.9382716049382,0.2809868178802931,10.560246913580245
