Year,total_passengers,avg_fare,avg_fare_per_mile,avg_fare_gap
1993,1538128,212.84562487068075,0.24807950535767476,26.778467308090214
1994,397648,215.7226150627615,0.24486370549599482,25.903560669456066
1996,2002008,202.4756934892251,0.23431290762587595,29.43669188445667
1997,2141868,206.2147186298497,0.2448821057986969,30.75087615053012
1998,2176741,208.69468087570948,0.24780802174776675,30.558249739372176
1999,2322840,208.7870410391999,0.24577552241823,31.952030118404416
2000,2451166,217.77929797742237,0.2543618897818973,38.08846190028222
2001,2227580,199.9391496044672,0.23914176229898387,35.75385411819451
2002,2163044,193.1623093121198,0.22846680159614516,29.876424894712212
2003,2195068,196.30022724582793,0.23293293702190668,25.41744466800805
2004,2419911,188.2761829615567,0.22474871498762944,22.700450878025627
2005,2668863,186.6145457813998,0.22272432356078495,21.279705177372964
2006,2710823,204.91860550458716,0.24262390868468728,22.534078287461774
2007,2657243,202.54935022579025,0.2403061608394176,23.792076016056196
2008,2631007,219.81229873668565,0.26092155756613156,26.087500619271736
2009,2503994,195.14609620378386,0.23231655029720302,22.989523927290712
2010,2519171,212.8293712168005,0.2524346355089866,21.545593576281654
2011,2535719,231.86435906908017,0.27467241372480594,23.912351927102574
2012,2542516,240.74343894711185,0.28505661150345135,26.55501462344626
2013,2605325,244.82262566457226,0.28891388664459794,25.830665780570325
2014,2680103,251.5013939615291,0.29372255558921045,28.17462016070124
2015,2845536,247.81321406615027,0.2912120995585559,28.777010943071435
2016,2977255,240.53066934404285,0.28255030569557754,25.135381526104418
2017,3086637,240.08152676399027,0.280384964306454,25.842087591240876
2018,3203948,239.72982406841786,0.27935309798652735,28.864943188759927
2019,3262326,241.18061924069298,0.2807124756706497,29.51966703526232
2020,1131511,193.48553633217995,0.21033252214720963,23.658186052701623
2021,2133402,206.39716698903933,0.22701973569660586,24.15881495809155
2022,2979367,249.66132256824298,0.2744866742409626,38.29699218249391
2023,3202067,250.00439994849341,0.28414327595551747,41.255963172804535
2024,743480,257.08315955766193,0.29039643356158723,44.20036334913112
